candidate_id,rank,score,reasoning
CAND_0028793,13,0.761674,"Search Engineer at Google | 7.2 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: long notice period (120d); requires relocation from Trivandrum, Kerala."
CAND_0055992,14,0.761535,AI Engineer at CRED | 16.9 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Sydney.
CAND_0044883,15,0.760998,AI Engineer at Mad Street Den | 6.3 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Berlin.
CAND_0068811,16,0.748694,Applied ML Engineer at Freshworks | 8.0 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0096142,17,0.747374,Applied ML Engineer at upGrad | 5.0 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: long notice period (120d).
CAND_0044855,18,0.746351,"Senior Data Scientist at Flipkart | 6.6 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Coimbatore, Tamil Nadu."
CAND_0031593,19,0.743312,"Search Engineer at Genpact AI | 7.8 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Kolkata, West Bengal."
CAND_0091909,20,0.742374,"Machine Learning Engineer at Rephrase.ai | 6.9 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Bangalore, Karnataka."
CAND_0030468,21,0.741046,"Senior Applied Scientist at Swiggy | 5.4 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Indore, Madhya Pradesh."
CAND_0010257,22,0.740687,Senior Data Scientist at Google | 6.5 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: long notice period (120d).
CAND_0060054,23,0.740557,"AI Engineer at Mad Street Den | 6.4 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Jaipur, Rajasthan."
CAND_0006557,24,0.739833,"NLP Engineer at Paytm | 7.9 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: long notice period (120d); requires relocation from Jaipur, Rajasthan."
CAND_0018549,25,0.736168,"Recommendation Systems Engineer at Uber | 6.8 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Coimbatore, Tamil Nadu."
CAND_0011162,26,0.734157,"Recommendation Systems Engineer at upGrad | 5.8 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Coimbatore, Tamil Nadu."
CAND_0045250,27,0.732719,Applied ML Engineer at Rephrase.ai | 6.6 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0006418,28,0.732601,Machine Learning Engineer at Verloop.io | 5.7 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0087630,29,0.73146,AI Engineer at Vedantu | 7.2 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0007009,30,0.730797,Recommendation Systems Engineer at Wysa | 7.9 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0057563,31,0.730568,"NLP Engineer at Locobuzz | 6.8 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Indore, Madhya Pradesh."
CAND_0041610,32,0.729643,"Recommendation Systems Engineer at Zoho | 6.7 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Indore, Madhya Pradesh."
CAND_0083879,33,0.727271,Machine Learning Engineer at Ola | 7.1 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0081053,34,0.726988,"NLP Engineer at Glance | 5.4 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Chandigarh, Chandigarh."
CAND_0018722,35,0.724939,Recommendation Systems Engineer at Saarthi.ai | 6.6 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Toronto.
CAND_0042100,36,0.723734,Machine Learning Engineer at Freshworks | 7.3 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Singapore.
CAND_0060072,37,0.723644,"Staff Machine Learning Engineer at Amazon | 5.7 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: low recruiter response rate (10%); requires relocation from Indore, Madhya Pradesh."
CAND_0006567,38,0.721019,Senior AI Engineer at Meta | 7.9 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0039383,39,0.720434,Applied ML Engineer at Meesho | 7.1 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0009691,40,0.716867,"Applied ML Engineer at LinkedIn | 6.2 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: long notice period (120d); requires relocation from Indore, Madhya Pradesh."
CAND_0061257,41,0.712242,Staff Machine Learning Engineer at LinkedIn | 8.0 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0066376,42,0.710683,Applied ML Engineer at Dream11 | 5.7 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0027691,43,0.708714,NLP Engineer at Haptik | 6.5 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0058688,44,0.708499,AI Engineer at Vedantu | 6.7 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Berlin.
CAND_0068351,45,0.708476,Lead AI Engineer at Sarvam AI | 6.4 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0010770,46,0.70725,"Recommendation Systems Engineer at Aganitha | 15.2 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Kolkata, West Bengal."
CAND_0047721,47,0.704304,"Senior Data Scientist at Microsoft | 7.0 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Coimbatore, Tamil Nadu."
CAND_0027801,48,0.703887,NLP Engineer at InMobi | 7.4 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: long notice period (120d).
CAND_0099401,49,0.702595,"NLP Engineer at Dream11 | 7.7 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Ahmedabad, Gujarat."
CAND_0066999,50,0.701424,"Recommendation Systems Engineer at Microsoft | 5.9 yrs | Moderate fit — verifiable production shipping history; depth in Machine Learning (58mo), FAISS (54mo). Concerns: no major red flags."
CAND_0024466,51,0.700281,Search Engineer at PharmEasy | 5.2 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: long notice period (120d); requires relocation from Toronto.
CAND_0086151,52,0.69336,"Recommendation Systems Engineer at Wysa | 7.7 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: long notice period (120d); requires relocation from Vizag, Andhra Pradesh."
CAND_0036121,53,0.690559,"ML Engineer at Wysa | 5.2 yrs | Moderate fit — verifiable production shipping history; depth in Machine Learning (39mo), Embeddings (33mo). Concerns: requires relocation from Chennai, Tamil Nadu."
CAND_0070398,54,0.68982,"Machine Learning Engineer at Genpact AI | 7.2 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: long notice period (120d); requires relocation from Kochi, Kerala."
CAND_0048166,55,0.68842,"ML Engineer at Aganitha | 5.2 yrs | Moderate fit — verifiable production shipping history; depth in Pinecone (48mo), Qdrant (30mo). Concerns: requires relocation from Berlin."
CAND_0015578,56,0.68676,AI Engineer at Zoho | 5.4 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0079284,57,0.686472,Machine Learning Engineer at Google | 4.9 yrs | Moderate fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: below JD experience floor (4.9 yrs vs 5-9 target).
CAND_0028527,58,0.682375,"AI Specialist at Tech Mahindra | 5.4 yrs | Moderate fit — verifiable production shipping history; depth in PyTorch (52mo), Vector Search (51mo). Concerns: requires relocation from Austin."
CAND_0059795,59,0.681859,"Senior Software Engineer (ML) at Locobuzz | 5.6 yrs | Moderate fit — verifiable production shipping history; depth in Machine Learning (49mo), Python (34mo). Concerns: no major red flags."
CAND_0061265,60,0.681797,"Recommendation Systems Engineer at Zoho | 6.6 yrs | Moderate fit — verifiable production shipping history; depth in Qdrant (76mo), Embeddings (57mo). Concerns: long notice period (120d)."
CAND_0094728,61,0.679415,"AI Specialist at Swiggy | 6.5 yrs | Weak fit — verifiable production shipping history; depth in pgvector (30mo), Qdrant (27mo). Concerns: requires relocation from Chennai, Tamil Nadu."
CAND_0019288,62,0.677403,"AI Research Engineer at Paytm | 5.7 yrs | Weak fit — verifiable production shipping history; depth in pgvector (40mo), OpenSearch (40mo). Concerns: no major red flags."
CAND_0024620,63,0.677289,"AI Engineer at PharmEasy | 5.9 yrs | Weak fit — verifiable production shipping history; depth in QLoRA (70mo), Python (53mo). Concerns: requires relocation from New York."
CAND_0048558,64,0.677141,"Data Scientist at Rephrase.ai | 6.7 yrs | Weak fit — verifiable production shipping history; depth in Qdrant (42mo), OpenSearch (41mo). Concerns: no major red flags."
CAND_0062247,65,0.676178,"AI Engineer at Google | 7.3 yrs | Weak fit — verifiable production shipping history; depth in Qdrant (90mo), Vector Search (75mo). Concerns: requires relocation from Kochi, Kerala."
CAND_0039690,66,0.675824,Data Analyst at PharmEasy | 5.1 yrs | Weak fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from New York.
CAND_0081480,67,0.675368,"Computer Vision Engineer at Sarvam AI | 5.6 yrs | Weak fit — verifiable production shipping history; depth in FAISS (29mo), Vector Search (26mo). Concerns: no major red flags."
CAND_0064888,68,0.675211,"ML Engineer at Verloop.io | 5.8 yrs | Weak fit — verifiable production shipping history; depth in pgvector (49mo), Elasticsearch (32mo). Concerns: requires relocation from Vizag, Andhra Pradesh."
CAND_0018701,69,0.674768,"Junior ML Engineer at Krutrim | 6.0 yrs | Weak fit — verifiable production shipping history; depth in Information Retrieval (44mo), Elasticsearch (19mo). Concerns: no major red flags."
CAND_0040178,70,0.67456,"ML Engineer at Meesho | 5.0 yrs | Weak fit — verifiable production shipping history; depth in OpenSearch (56mo), Vector Search (36mo). Concerns: no major red flags."
CAND_0025923,71,0.674492,"Senior Software Engineer (ML) at HCL | 5.0 yrs | Weak fit — verifiable production shipping history; depth in Pinecone (30mo), pgvector (29mo). Concerns: requires relocation from Kolkata, West Bengal."
CAND_0067866,72,0.674001,"Senior Software Engineer (ML) at Tech Mahindra | 6.4 yrs | Weak fit — verifiable production shipping history; depth in pgvector (55mo), LoRA (55mo). Concerns: no major red flags."
CAND_0007052,73,0.672227,"ML Engineer at Unacademy | 6.5 yrs | Weak fit — verifiable production shipping history; depth in Vector Search (58mo), Elasticsearch (52mo). Concerns: no major red flags."
CAND_0005193,74,0.67218,"Senior Software Engineer at Acme Corp | 6.2 yrs | Weak fit — verifiable production shipping history; depth in OpenSearch (59mo), Machine Learning (44mo). Concerns: no major red flags."
CAND_0044262,75,0.672104,"Data Scientist at upGrad | 6.9 yrs | Weak fit — verifiable production shipping history; depth in OpenSearch (55mo), Python (32mo). Concerns: requires relocation from Trivandrum, Kerala."
CAND_0045141,76,0.67206,"Data Scientist at HCL | 5.3 yrs | Weak fit — verifiable production shipping history; depth in Pinecone (42mo), QLoRA (36mo). Concerns: requires relocation from Kochi, Kerala."
CAND_0099806,77,0.671852,"AI Engineer at Mad Street Den | 4.6 yrs | Weak fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: below JD experience floor (4.6 yrs vs 5-9 target); requires relocation from Bhubaneswar, Odisha."
CAND_0050454,78,0.671006,"AI Engineer at Rephrase.ai | 6.8 yrs | Weak fit — verifiable production shipping history; depth in QLoRA (87mo), LoRA (73mo). Concerns: no major red flags."
CAND_0054123,79,0.670387,Applied ML Engineer at Meta | 4.7 yrs | Weak fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: below JD experience floor (4.7 yrs vs 5-9 target).
CAND_0078492,80,0.670197,"Recommendation Systems Engineer at Verloop.io | 5.1 yrs | Weak fit — verifiable production shipping history; depth in FAISS (66mo), Qdrant (66mo). Concerns: requires relocation from Kochi, Kerala."
CAND_0014234,81,0.669906,"Junior ML Engineer at Tech Mahindra | 5.4 yrs | Weak fit — verifiable production shipping history; depth in pgvector (54mo), Elasticsearch (18mo). Concerns: requires relocation from Indore, Madhya Pradesh."
CAND_0098454,82,0.66974,"AI Specialist at Meesho | 6.6 yrs | Weak fit — verifiable production shipping history; depth in OpenSearch (24mo), Embeddings (12mo). Concerns: requires relocation from Indore, Madhya Pradesh."
CAND_0076251,83,0.669289,"Search Engineer at Haptik | 7.6 yrs | Weak fit — verifiable production shipping history; depth in Elasticsearch (20mo). Concerns: requires relocation from Bhubaneswar, Odisha."
CAND_0074731,84,0.668754,"Data Scientist at InMobi | 6.6 yrs | Weak fit — verifiable production shipping history; depth in LoRA (47mo), OpenSearch (20mo). Concerns: requires relocation from Chennai, Tamil Nadu."
CAND_0077092,85,0.668575,"Mechanical Engineer at TCS | 8.9 yrs | Weak fit — verifiable production shipping history; depth in Embeddings (18mo), Pinecone (10mo). Concerns: requires relocation from Austin."
CAND_0038368,86,0.667821,"ML Engineer at PhonePe | 5.4 yrs | Weak fit — verifiable production shipping history; depth in Embeddings (52mo), QLoRA (49mo). Concerns: no major red flags."
CAND_0026532,87,0.667647,"Recommendation Systems Engineer at Zomato | 4.8 yrs | Weak fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: below JD experience floor (4.8 yrs vs 5-9 target); requires relocation from Chennai, Tamil Nadu."
CAND_0010541,88,0.667167,"AI Research Engineer at Wysa | 6.2 yrs | Weak fit — verifiable production shipping history; depth in Python (32mo), LoRA (31mo). Concerns: no major red flags."
CAND_0071939,89,0.667136,"Data Scientist at Krutrim | 6.4 yrs | Weak fit — verifiable production shipping history; depth in OpenSearch (43mo), Embeddings (43mo). Concerns: no major red flags."
CAND_0069638,90,0.665932,"Computer Vision Engineer at Swiggy | 6.2 yrs | Weak fit — verifiable production shipping history; depth in Pinecone (60mo), PyTorch (24mo). Concerns: requires relocation from Chennai, Tamil Nadu."
CAND_0057736,91,0.665739,"Computer Vision Engineer at Mad Street Den | 6.2 yrs | Weak fit — verifiable production shipping history; depth in Information Retrieval (43mo), Qdrant (27mo). Concerns: requires relocation from Coimbatore, Tamil Nadu."
CAND_0008295,92,0.665668,"AI Research Engineer at Razorpay | 6.5 yrs | Weak fit — verifiable production shipping history; depth in Python (53mo), QLoRA (19mo). Concerns: no major red flags."
CAND_0083852,93,0.664883,"Data Scientist at Mad Street Den | 6.0 yrs | Weak fit — verifiable production shipping history; depth in Pinecone (59mo), PyTorch (35mo). Concerns: requires relocation from Ahmedabad, Gujarat."
CAND_0036598,94,0.663777,"Civil Engineer at Initech | 7.3 yrs | Weak fit — verifiable production shipping history; depth in FAISS (16mo), Information Retrieval (15mo). Concerns: no major red flags."
CAND_0088441,95,0.663474,"AI Specialist at Sarvam AI | 6.5 yrs | Weak fit — verifiable production shipping history; depth in Qdrant (56mo), Information Retrieval (47mo). Concerns: requires relocation from Coimbatore, Tamil Nadu."
CAND_0068985,96,0.663396,"Senior Software Engineer (ML) at Locobuzz | 5.2 yrs | Weak fit — verifiable production shipping history; depth in Machine Learning (50mo), Qdrant (24mo). Concerns: requires relocation from New York."
CAND_0069718,97,0.662483,"ML Engineer at Saarthi.ai | 5.7 yrs | Weak fit — verifiable production shipping history; depth in OpenSearch (58mo), Elasticsearch (38mo). Concerns: requires relocation from Trivandrum, Kerala."
CAND_0032179,98,0.662444,"Computer Vision Engineer at InMobi | 6.4 yrs | Weak fit — verifiable production shipping history; depth in PyTorch (54mo), Vector Search (47mo). Concerns: requires relocation from Sydney."
CAND_0049771,99,0.662141,"AI Research Engineer at Wysa | 5.0 yrs | Weak fit — verifiable production shipping history; depth in Pinecone (36mo), Python (31mo). Concerns: requires relocation from Ahmedabad, Gujarat."
CAND_0095619,100,0.661546,"NLP Engineer at Nykaa | 15.6 yrs | Weak fit — verifiable production shipping history; depth in Pinecone (74mo), Information Retrieval (52mo). Concerns: no major red flags."
